Vattentemperatur,E. coli,E. coli prefix,Intestinala enterokocker prefix,Intestinala enterokocker,Eu-bad,Län,Kommun,Badplats,Latitud,Longitud,Badplatstyp,Datum,Vädertyp,Kvalitet,Algblomning
"11,5",1,<,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002173""  target = ""_blank"">Vängsjön</a>","59,7736502590441","18,1238486140644",Sjö,2023-05-19 00:00:00,Klart,Tjänligt,Ingen blomning
11,3,=,<,10,J,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002175""  target = ""_blank"">Blidö, Rådmansholmen</a>","59,6219","18,944",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
15,3,=,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002176""  target = ""_blank"">Vätö, Håknäs (Sandviken)</a>","59,7900760324612","18,9348325478562",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
12,1,=,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002177""  target = ""_blank"">Rånäs, Lindbacken</a>","59,8114404307719","18,3154448231058",Sjö,2023-05-15 00:00:00,Klart,Tjänligt,Ingen blomning
13,1,<,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002182""  target = ""_blank"">Solöbadet</a>","59,6773370618009","18,7609102635335",Hav,2023-06-01 00:00:00,Klart,Tjänligt,Ingen blomning
11,1,<,<,10,J,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000002184""  target = ""_blank"">Gisen</a>","59,8801","18,4975",Sjö,2023-05-15 00:00:00,Klart,Tjänligt,Ingen blomning
12,1,=,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000003622""  target = ""_blank"">Nysättra badet</a>","59,8132704325141","18,9036588706008",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
11,1,=,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000004894""  target = ""_blank"">Gillfjärden</a>","59,7980612529075","18,7316887240469",Sjö,2023-05-15 00:00:00,Klart,Tjänligt,Ingen blomning
11,4,=,=,80,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000004934""  target = ""_blank"">Österviken</a>","59,661241","18,942417",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
14,1,<,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000005094""  target = ""_blank"">Gunnsjön</a>","59,644934","18,612045",Sjö,2023-05-22 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
14,5,=,<,10,N,Stockholm,Norrtälje,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110188000005455""  target = ""_blank"">Lågarö-Örn</a>","59,7737","18,9346",Hav,2023-05-22 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
14,26,=,=,390,N,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001831""  target = ""_blank"">Långholmens klippbad, Mälaren</a>","59,322809","18,034695",Sjö,2023-05-29 00:00:00,Klart,Otjänligt,Ingen blomning
14,15,=,=,50,J,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001832""  target = ""_blank"">Långholmens strandbad, Mälaren</a>","59,321979","18,02413",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
13,5,=,=,10,J,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001845""  target = ""_blank"">Smedsuddsbadet V, Mälaren</a>","59,325144","18,020883",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
14,3,=,=,20,J,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001846""  target = ""_blank"">Smedsuddsbadet Ö, Mälaren</a>","59,325","18,0216",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
13,1,=,=,10,N,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001863""  target = ""_blank"">Ekhagens strandbad</a>","59,372523","18,069107",Hav,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
14,1,<,<,10,J,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001864""  target = ""_blank"">Brunnsvikens Strandbad</a>","59,3618","18,0485",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
19,10,=,<,10,J,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001866""  target = ""_blank"">Farsta strandbad, Magelungen</a>","59,2366","18,0843",Sjö,2023-05-30 00:00:00,Klart,Tjänligt,Ingen blomning
17,2,=,<,10,J,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001867""  target = ""_blank"">Flatenbadet, allmänna</a>","59,2525","18,1588",Sjö,2023-05-30 00:00:00,Klart,Tjänligt,Ingen blomning
17,1,<,<,10,J,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001868""  target = ""_blank"">Flatenbadet, barnbadet</a>","59,2565","18,156",Sjö,2023-05-30 00:00:00,Klart,Tjänligt,Ingen blomning
17,3,=,<,10,J,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001869""  target = ""_blank"">Hökarängsbadet, Drevviken</a>","59,2468","18,11",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
17,10,=,<,10,N,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000001870""  target = ""_blank"">Sköndalsbadet, Drevviken</a>","59,248402","18,125108",Sjö,2023-05-30 00:00:00,Klart,Tjänligt,Ingen blomning
13,9,=,<,10,N,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000004188""  target = ""_blank"">Oxhålsbadet (Stora Essingen), Mälaren</a>","59,3223","17,9843",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
16,2,=,<,10,N,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000004456""  target = ""_blank"">Skrubba strandbad, Drevviken</a>","59,234","18,1834",Sjö,2023-05-30 00:00:00,Klart,Tjänligt,Ingen blomning
13,21,=,<,10,N,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000004457""  target = ""_blank"">Fredhällsbadet, Mälaren</a>","59,3304","17,9959",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
14,138,=,=,10,N,Stockholm,Stockholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110180000004555""  target = ""_blank"">Kristinebergs Strandbad</a>","59,338221","18,000931",Sjö,2023-05-29 00:00:00,Klart,Tjänligt m. Anm.,Ingen blomning
"17,4",1,<,<,10,N,Stockholm,Upplands-Bro,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110139000001714""  target = ""_blank"">Lillsjön</a>","59,4907716213504","17,7168598685225",Sjö,2023-05-22 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
16,1,<,<,10,N,Stockholm,Upplands-Bro,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110139000001715""  target = ""_blank"">Stigstorp</a>","59,4977075065205","17,7784183590414",Sjö,2023-05-22 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
"15,6",4,=,<,10,N,Stockholm,Upplands-Bro,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110139000001716""  target = ""_blank"">Hällkana</a>","59,5257096054794","17,6848669729185",Sjö,2023-05-22 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
"16,3",1,<,<,10,N,Stockholm,Upplands-Bro,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110139000001717""  target = ""_blank"">Björknäs</a>","59,4853753930669","17,6046125599633",Sjö,2023-05-22 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
"19,8",1,<,<,10,N,Stockholm,Upplands-Bro,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110139000003790""  target = ""_blank"">Gröna Udden</a>","59,4742528961013","17,7509914839481",Sjö,2023-05-22 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
"15,7",1,<,<,10,N,Stockholm,Upplands-Bro,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110139000004442""  target = ""_blank"">Frölunda badplats (klippbad)</a>","59,4426921245527","17,6939477016584",Sjö,2023-05-22 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
"17,5",1,<,<,10,N,Stockholm,Upplands-Bro,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110139000004443""  target = ""_blank"">Frölunda, vid grillhus (sandstrand)</a>","59,441565260457","17,6984801134251",Sjö,2023-05-22 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
16,1,,,6,N,Stockholm,Vallentuna,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110115000001985""  target = ""_blank"">Vallentunasjön, Gustavsudde</a>","59,5210347784488","18,0631860642136",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
14,1,<,,1,N,Stockholm,Vallentuna,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110115000001987""  target = ""_blank"">Långsjön syd</a>","59,5909223365572","18,3414967475741",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
16,1,<,,2,N,Stockholm,Vallentuna,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110115000001994""  target = ""_blank"">Toftesta</a>","59,5578792917695","18,2611585992061",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
15,1,<,<,5,N,Stockholm,Vallentuna,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0110115000001995""  target = ""_blank"">Bergsjön</a>","59,6492519596823","18,2731565295656",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"15,6",10,<,<,10,N,Västra Götalands,Strömstad,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21486000000106""  target = ""_blank"">Lagunen Camping</a>","58,9137346382483","11,2038336580666",Hav,2023-05-30 00:00:00,Klart,Tjänligt,Ingen blomning
10,1,<,<,1,N,Västra Götalands,Svenljunga,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21465000001057""  target = ""_blank"">Mjöbäck, Korrasjön</a>","57,3156375818067","12,8696884697737",Sjö,2023-05-05 00:00:00,Klart,Tjänligt,Ingen blomning
9,1,<,<,1,N,Västra Götalands,Svenljunga,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21465000001058""  target = ""_blank"">Överlida, Stora Hallången</a>","57,3469890892821","12,9039736659283",Sjö,2023-05-05 00:00:00,Klart,Tjänligt,Ingen blomning
10,5,<,<,1,N,Västra Götalands,Svenljunga,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21465000001060""  target = ""_blank"">Holsljunga, Holsjön</a>","57,4174649846319","12,9561008509299",Sjö,2023-05-05 00:00:00,Klart,Tjänligt,Ingen blomning
11,1,<,<,1,N,Västra Götalands,Svenljunga,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21465000001061""  target = ""_blank"">Roasjö, Roasjön</a>","57,5408759810958","12,975561699319",Sjö,2023-05-03 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
11,3,<,<,1,N,Västra Götalands,Svenljunga,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21465000001063""  target = ""_blank"">Revesjö, Stora Kvarnsjön</a>","57,440955680155","13,0574196277721",Sjö,2023-05-03 00:00:00,Klart,Tjänligt,Ingen blomning
10,1,<,=,1,N,Västra Götalands,Svenljunga,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21465000001066""  target = ""_blank"">Sexdrega, Hagalundssjön</a>","57,5671470027992","13,1220148077897",Sjö,2023-05-03 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
10,1,<,<,1,N,Västra Götalands,Svenljunga,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21465000001068""  target = ""_blank"">Hillared, Hösjön</a>","57,6173934624618","13,1787780353386",Sjö,2023-05-03 00:00:00,Mulet,Tjänligt,Ingen blomning
9,1,<,=,2,N,Västra Götalands,Svenljunga,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21465000001071""  target = ""_blank"">Kalv, Kalvsjön</a>","57,2430875062251","13,0721839739121",Sjö,2023-05-05 00:00:00,Klart,Tjänligt,Ingen blomning
11,8,=,<,1,N,Västra Götalands,Svenljunga,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21465000001073""  target = ""_blank"">Östra Frölunda, Vitasjön</a>","57,3090681527905","12,989699207644",Sjö,2023-05-05 00:00:00,Klart,Tjänligt,Ingen blomning
10,1,<,<,1,N,Västra Götalands,Svenljunga,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21465000001074""  target = ""_blank"">Svenljunga, Kolarpssjön</a>","57,537834015988","13,1186779868832",Sjö,2023-05-03 00:00:00,Viss molnighet,Tjänligt,Ingen blomning
11,1,<,<,1,N,Västra Götalands,Svenljunga,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21465000001076""  target = ""_blank"">Håcksvik, Skäremosjön</a>","57,3377745649473","13,1839852640479",Sjö,2023-05-05 00:00:00,Klart,Tjänligt,Ingen blomning
12,1,<,<,1,N,Västra Götalands,Svenljunga,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21465000001078""  target = ""_blank"">Örsås, Örsåssjön</a>","57,4428210077208","13,1290414631033",Sjö,2023-05-05 00:00:00,Klart,Tjänligt,Ingen blomning
"17,1",23,=,=,30,N,Västra Götalands,Tidaholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21498000000892""  target = ""_blank"">Tidan, Fröjered</a>","58,248452771152","14,016324515389",Vattendrag,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"14,9",28,=,=,40,N,Västra Götalands,Tidaholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21498000000893""  target = ""_blank"">Tidan, Madängsholm</a>","58,1387892396892","13,9277593873318",Vattendrag,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"16,9",1,=,<,10,N,Västra Götalands,Tidaholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21498000000898""  target = ""_blank"">Lilla Havssjön</a>","58,1050771703748","14,0881499940035",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"17,3",2,=,<,10,N,Västra Götalands,Tidaholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21498000000899""  target = ""_blank"">Bruksdammen</a>","58,2165326469227","13,8541860504726",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
"17,3",2,=,<,10,N,Västra Götalands,Tidaholm,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0A21498000000900""  target = ""_blank"">Otterstorpasjön, Valstad</a>","58,1023232652799","13,8265390095146",Sjö,2023-05-29 00:00:00,Klart,Tjänligt,Ingen blomning
5,1,=,=,10,N,Örebro,Kumla,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0241881000003227""  target = ""_blank"">Hästhagsbrottet</a>","59,1084949896243","15,2310384172569",Sjö,2023-05-17 00:00:00,Ingen uppgift,Tjänligt,Ingen uppgift
17,4,=,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001757""  target = ""_blank"">Roxen Berg</a>","58,4868083391097","15,5408333143404",Sjö,2023-05-26 00:00:00,Klart,Tjänligt,Ingen uppgift
16,1,<,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001758""  target = ""_blank"">Roxen Sandvik</a>","58,5388177818539","15,6208372390246",Sjö,2023-05-26 00:00:00,Klart,Tjänligt,Ingen uppgift
18,3,=,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001760""  target = ""_blank"">Stångån Hjulsbro</a>","58,3744714476893","15,7139489634733",Vattendrag,2023-05-25 00:00:00,Viss molnighet,Tjänligt,Ingen uppgift
17,10,=,=,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001761""  target = ""_blank"">Stångån Johannelund</a>","58,3983617563345","15,6623526743628",Vattendrag,2023-05-25 00:00:00,Klart,Tjänligt,Ingen uppgift
18,5,=,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001762""  target = ""_blank"">Stångån Sturefors</a>","58,3242330526836","15,7256212267365",Vattendrag,2023-05-25 00:00:00,Viss molnighet,Tjänligt,Ingen uppgift
18,1,<,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001763""  target = ""_blank"">Järnlunden, Hulta</a>","58,1920852343084","15,5925138257302",Sjö,2023-05-24 00:00:00,Klart,Tjänligt,Ingen uppgift
17,1,<,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001765""  target = ""_blank"">Järnlunden, Viggeby</a>","58,2021054834424","15,6415966054278",Sjö,2023-05-24 00:00:00,Klart,Tjänligt,Ingen uppgift
17,4,=,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001766""  target = ""_blank"">Lilla Rängen, Brokind</a>","58,2148911171737","15,675612754051",Sjö,2023-05-24 00:00:00,Klart,Tjänligt,Ingen uppgift
17,3,=,=,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001767""  target = ""_blank"">Lilla Rängen, Västerby</a>","58,2477622930245","15,660717849544",Sjö,2023-05-24 00:00:00,Klart,Tjänligt,Ingen uppgift
18,6,=,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001768""  target = ""_blank"">Stora Rängen, Bestorp</a>","58,2343424171266","15,7270207827858",Sjö,2023-05-25 00:00:00,Klart,Tjänligt,Ingen uppgift
18,1,=,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001770""  target = ""_blank"">Stora Rängen, Stavsätter</a>","58,3008681357553","15,6803899237482",Sjö,2023-05-24 00:00:00,Klart,Tjänligt,Ingen uppgift
18,3,=,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001813""  target = ""_blank"">Ljungsjön</a>","58,5280363390211","15,4517802960596",Sjö,2023-05-26 00:00:00,Klart,Tjänligt,Ingen uppgift
16,2,=,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001814""  target = ""_blank"">Hövern</a>","58,3824612356383","16,0332578174526",Sjö,2023-05-25 00:00:00,Klart,Tjänligt,Ingen uppgift
16,23,=,=,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001815""  target = ""_blank"">Svinstadsjön</a>","58,3708571479228","15,8376142668848",Sjö,2023-05-25 00:00:00,Viss molnighet,Tjänligt,Ingen uppgift
19,3,=,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001816""  target = ""_blank"">Hultsjön</a>","58,5741081660732","15,5101288502674",Sjö,2023-05-26 00:00:00,Klart,Tjänligt,Ingen uppgift
18,6,=,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001819""  target = ""_blank"">Amundebosjön</a>","58,1212405867542","15,445449575664",Sjö,2023-05-24 00:00:00,Klart,Tjänligt,Ingen uppgift
19,1,=,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001820""  target = ""_blank"">Lillsjön</a>","58,2760090985076","15,4044602823769",Sjö,2023-05-24 00:00:00,Klart,Tjänligt,Ingen uppgift
19,5,=,=,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000001822""  target = ""_blank"">Sibborpesjön</a>","58,5758563253657","15,4379351760774",Sjö,2023-05-26 00:00:00,Klart,Tjänligt,Ingen uppgift
18,1,<,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000004482""  target = ""_blank"">Stångån Badlagunen</a>","58,3983629057276","15,6621302819285",Vattendrag,2023-05-31 00:00:00,Klart,Tjänligt,Ingen uppgift
18,4,=,<,10,N,Östergötland,Linköping,"<a href = ""https://badplatsen.havochvatten.se/badplatsen/karta/#/bath/SE0230580000004533""  target = ""_blank"">Stångån Vårgård</a>","58,3879713477227","15,6909776950517",Sjö,2023-05-25 00:00:00,Klart,Tjänligt,Ingen uppgift